Features,Type
[-499.4247    112.08116   -49.807816  -18.21421    13.028867],belly_pain
[-503.241     155.62462   -53.089634   -9.338754   18.954021],belly_pain
[-426.70706   157.33188   -52.70597   -14.5242     11.352674],belly_pain
[-389.0387    168.44524   -67.22318   -17.1263     13.631199],belly_pain
[-317.4329     176.0357     -62.427364    -4.4671364   17.833765 ],belly_pain
[-389.52472   148.90518   -72.82749    -8.710933   16.21002 ],belly_pain
[-395.50275    134.50542    -40.998844    -3.8517056   10.750525 ],belly_pain
"[-4.3381680e+02  9.3447205e+01  1.9128580e-01 -1.0415295e+01
 -4.0812230e+00]",belly_pain
[-395.3091     128.01906    -47.220932     1.3578546    6.530758 ],belly_pain
[-252.29735   145.54683   -58.926727  -16.598593    3.672816],belly_pain
[-428.3942    148.9       -69.30619   -15.013275   28.952463],belly_pain
[-436.1321    123.276924  -20.165434    7.376603   18.413662],belly_pain
[-417.36902   195.04312   -93.95171    -6.475128   26.089195],belly_pain
[-402.05515   153.38995  -106.980034  -21.820833   25.608883],belly_pain
[-364.82013   151.83423  -122.37543   -24.735775   22.686073],belly_pain
[-237.06866    148.7104    -146.33049     -1.1878089   44.94896  ],belly_pain
[-240.35178   150.29214  -141.18556    -4.036984   32.094738],burping
[-369.66095    131.35814    -64.99535     -1.4956933   32.630295 ],burping
[-408.19205   194.77637   -78.1031     -9.677836   29.894154],burping
[-299.38684    113.741516   -60.026676    -8.988104    13.9781275],burping
[-250.58081   124.703926  -95.40761   -15.318602   26.263527],burping
[-329.8263    132.71452   -60.038795   15.782447   28.34084 ],burping
[-217.8622     152.88904   -113.24161      2.6272593   44.18964  ],burping
[-357.5416     114.446686    -6.29728     -7.0751014   -3.1481748],burping
[-249.26164   151.83116   -70.89622   -20.618303    5.856903],discomfort
[-395.8958     223.3184     -77.89734      2.4307284   28.456585 ],discomfort
[-292.7018     138.58197    -85.35644     -2.0480652   25.566454 ],discomfort
[-397.12057    151.24698    -65.3862      -1.9316897   21.394293 ],discomfort
[-282.3102    160.53085   -74.99476   -12.361572    9.302519],discomfort
[-229.19627   184.52292  -108.28892   -14.289325   20.538548],discomfort
[-329.16995   166.00903   -60.387753    4.649882   35.099358],discomfort
[-261.82266   133.9421    -48.72611   -22.98885    10.235166],discomfort
[-209.01395   135.1739    -96.577866  -35.985176   19.11125 ],discomfort
[-510.84457    196.45836    -75.56486     -7.9848833   26.393318 ],discomfort
[-453.00937    164.61502    -55.73687      3.1925652   28.895462 ],discomfort
[-318.40182   167.26541  -101.554756   11.782036   40.446808],discomfort
[-343.40988    190.79735     -8.8242235    5.0022063   23.80729  ],discomfort
[-554.887     201.52206   -33.067265   12.458403   33.7799  ],discomfort
[-449.86368   179.8034     -8.296233  -33.4173      7.133553],discomfort
[-491.09457    126.16937     11.670261   -14.912604     3.7010727],discomfort
[-381.44116     146.63887     -10.495204    -33.137245      0.82694507],discomfort
[-439.31705    139.7884      -4.5819306  -32.67953      4.0469956],discomfort
[-366.2532     178.90126    -13.865501   -38.928745     3.3070655],discomfort
[-188.3581    183.66656   -71.6025    -18.301363   31.75414 ],discomfort
[-508.56964     128.72554     -80.36872      -0.73951334   25.477024  ],discomfort
[-304.14453   137.53151   -48.086357  -12.27783     6.551328],discomfort
[-586.2228    140.13278   -30.083899   10.935675   37.800827],discomfort
[-342.28952   120.055405 -104.5337    -23.813751   20.003834],discomfort
[-488.83807   138.60236   -45.34293   -12.816395   15.009723],discomfort
[-265.64914   134.41496   -96.22351   -19.94444    13.617352],discomfort
[-226.19237  162.77248  -97.48634  -36.68519    5.28746],discomfort
[-713.7978    165.8465    -55.063244    1.766715   22.625328],hungry
"[-5.2343182e+02  1.3742322e+02 -1.8293631e+01  1.6314410e-02
  1.8337383e+01]",hungry
[-272.63913    159.18773   -119.38523    -13.6177635   34.552437 ],hungry
[-207.56749   159.3339    -44.609962   -5.867236   14.069979],hungry
[-301.9556    109.409225  -28.407911  -11.756661   11.044582],hungry
[-610.3246    141.27507   -48.33095   -19.192837   10.555733],hungry
[-209.5394    189.15399   -90.8119    -19.802502   34.084705],hungry
[-364.89584    80.19566   -35.093002  -14.971578    6.184248],hungry
[-477.60916     82.48408     -7.71933    -13.275761     2.8506236],hungry
[-347.1336    129.74684   -70.25622   -12.317227   27.131674],hungry
[-346.23712    99.14605   -41.73205   -17.596292   16.548286],hungry
[-355.5181     102.50718    -22.443365   -20.114761     3.2047539],hungry
[-435.50803   171.06548   -63.296772  -15.923956   18.010574],hungry
[-325.78613    140.0314     -81.34475    -15.200344     7.0099196],hungry
[-391.6087     89.35009   -46.164318    2.518554   26.69859 ],hungry
[-362.4873     107.409424   -45.9358       3.3556056   23.86174  ],hungry
[-312.34537   148.15909   -62.69702   -20.657751   16.433802],hungry
[-322.77902    177.25078    -52.4167       6.0253034   42.98498  ],hungry
[-228.45622    149.70334    -73.61504     -3.5735931   19.408236 ],hungry
[-530.67676   124.37608   -56.942043   -3.117542   11.088998],hungry
[-282.1546    145.62761   -69.74762   -17.87737    10.660626],hungry
[-250.16246     164.82861     -97.0798        0.45820224   19.888636  ],hungry
[-249.08795   162.24348  -111.509674   12.406859   34.792137],hungry
[-255.78616   167.83586  -100.29129     3.766301   24.01028 ],hungry
[-284.69855    137.49915    -61.22184     -8.257466     4.9492865],hungry
[-345.87033   211.76279   -98.96118     7.554568   33.108395],hungry
[-327.31467    133.62349    -73.10382    -18.488306    -1.6594279],hungry
[-318.74646    155.90298    -59.29264    -49.275417   -15.0386715],hungry
[-346.36392    157.9498     -37.326965   -36.173683    -7.6263866],hungry
[-391.8854     172.91173    -72.24852     -4.3631253   28.808115 ],hungry
[-350.7797    157.9293    -22.165232  -20.913206   -5.842207],hungry
[-289.18478    118.96018    -52.364124   -34.96103      2.4877212],hungry
[-321.40182   134.25873   -64.51771   -13.126462   26.52698 ],hungry
[-234.84007   156.60593   -56.624947  -10.449141   23.624546],hungry
[-327.14203    127.21996    -30.400272    -9.796507     6.9093137],hungry
[-387.6916      127.89009     -31.435686    -20.154575     -0.43678027],hungry
[-307.51254    150.11061    -52.640907     6.7589006   25.742926 ],hungry
[-271.60938   139.5794    -93.837524  -12.811718   18.292568],hungry
[-281.35114    170.21442    -65.58585    -14.8778305   17.931513 ],hungry
[-396.1956     125.532814   -34.306507     5.8218684   18.02634  ],hungry
[-344.3027    172.84505   -45.28971     4.912903   38.979362],hungry
[-363.9847      126.14264     -24.43572       0.58860046   14.315683  ],hungry
[-510.20145   124.86441   -10.831401   10.573788   24.359257],hungry
[-303.0121     126.07512    -63.83949    -29.248657     7.3663282],hungry
[-256.3625    151.03586   -75.935104  -25.140226   20.378002],hungry
[-373.22324   167.5384    -18.218634   19.175364   47.834522],hungry
[-352.5305     90.20611    -9.194122  -10.811955    5.348598],hungry
